Ticker,Price,PE_Ratio,PB_Ratio,12M,18M,24M,36M,48M,60M,Momentum Score,average_cagr
ADANIENT,2550,140,18,8.6,7.8,9.8,12.5,9.9,10.8,35,9.9
ADANIPORTS,1300,24.8,3.8,20.2,18.8,22,22.2,24.4,28.1,58,22.6
APOLLOHOSP,6800,58,6.2,7.4,10.3,10.1,14,12.9,13.2,55,11.3
ASIANPAINT,2528,67.4,12.5,7.7,8.8,6.3,9,11.3,9.8,24,8.8
AXISBANK,1068,11.8,1.8,22.2,24.2,25,30,30,30,100,26.9
BAJAJ-AUTO,9500,35,4.8,12.9,16.6,13.2,16.3,21.2,24.1,66,17.4
BAJFINANCE,861,30.7,6,16.9,17.6,16.3,19.9,22.4,27.5,68,20.1
BAJAJFINSV,1925,32.3,3.2,14.8,20.1,19.7,21.4,26.1,29.2,84,21.9
BEL,385,51.2,8.5,9.3,11.1,13,15.6,14,15.9,26,13.2
BPCL,285,12.5,1.2,18.9,24.2,26.5,26.2,30,30,90,26
BHARTIARTL,1874,38.1,9.7,14.8,18,15.7,20.6,13.9,22.5,45,17.6
BRITANNIA,4850,45,14,8.9,10.3,6.7,11.3,13.6,17,27,11.3
CIPLA,1465,28,3.5,18.3,20.2,24.2,25.4,26.1,30,79,24
COALINDIA,410,8.5,1.8,24.8,22.9,25,27.6,28.2,30,100,26.4
DRREDDY,1220,24,2.8,21.2,22,20.9,25.5,28.2,29.8,82,24.6
EICHERMOT,4800,32,5.2,16.5,20.4,17.9,20,21.2,19.4,64,19.2
GRASIM,2760,18,1.8,21.1,27.2,23.1,26.6,28.5,28.7,100,25.9
HCLTECH,1489,23.8,3.6,23.3,24.7,22.6,29.8,26.8,30,100,26.2
HDFCBANK,1991,21.6,2.8,18.8,20.9,23.5,24.7,25.1,30,74,23.8
HDFCLIFE,788,14.5,4.2,21.4,19.9,26.1,23.9,27.2,30,71,24.7
HEROMOTOCO,4708,22,3.8,18.7,21.9,17.2,23,25.3,28.6,66,22.5
HINDALCO,696,15,2.2,16.6,21.5,22.2,24.4,26.9,27.1,92,23.1
HINDUNILVR,2480,54.8,11.2,9.5,8,13.7,12,9.8,14.5,14,11.3
ICICIBANK,1427,19.3,3.1,22.7,24.7,22,28.1,29.5,30,100,26.2
ITC,411,25.7,7.3,16.2,16.2,16.9,19.1,22.6,25.4,65,19.4
INDUSINDBK,770,12,1.5,25.1,24.9,29.2,28.6,30,30,89,28
INFY,1448,22.1,7.1,18,22.3,22.1,26.4,28.4,29.7,60,24.5
JSWSTEEL,1046,16.2,2,16.1,19.4,23.1,24.2,23.5,28.7,93,22.5
KOTAKBANK,1978,20.5,2.5,19.4,22.7,23.8,23.9,29.5,30,97,24.9
LT,3677,32.5,4.2,19,15.2,17.1,22,24,26,100,20.5
M&M,3265,29.6,3.8,17.9,20.1,20.7,22.1,22.2,26.4,64,21.6
MARUTI,12936,28,4.7,16.2,16.7,18.8,25.3,18.9,26,54,20.3
NTPC,339,13.7,1.4,21.1,25.6,24.8,25.2,28.6,30,88,25.9
NESTLEIND,2300,55,95,8.4,8.6,7.7,14.2,12.1,7.8,26,9.8
ONGC,237,8.3,1.1,20.8,25.2,23.2,27.2,30,30,88,26.1
POWERGRID,325,18,1.6,20.4,21.4,22.3,29.7,29.5,28.7,100,25.3
RELIANCE,1374,24.8,3.2,22.2,21.1,17.1,21.3,27,25.2,83,22.3
SBILIFE,1520,15,4.8,21.6,19.5,22.4,18.4,25.3,29.2,68,22.7
SHRIRAMFIN,3200,18,3.5,24.4,19.6,22.8,26.5,30,28.4,96,25.3
SBIN,827,9.6,1.6,23.9,23.4,27.7,30,30,30,95,27.5
SUNPHARMA,1641,34.4,5.8,17.5,19.7,22.5,19,27.8,21.7,62,21.4
TCS,3022,22.2,11.5,18.8,19.2,18.5,21.4,23,24.9,62,21
TATACONSUM,1051,48,18,8.7,7.1,10.8,10.5,12.5,13.1,21,10.5
TATAMOTORS,1100,9.5,2.1,20.3,24.2,25.2,26.5,29.4,30,89,25.9
TATASTEEL,170,45,1.8,15.1,14.5,15.3,19.6,20.7,22.4,80,17.9
TECHM,1490,20.2,3.6,22.7,25.3,24.7,28.7,30,30,90,26.9
TITAN,3489,83.4,26.6,6.4,12.7,6.9,7.5,13.2,13.4,26,10
TRENT,6800,185,35,9.3,8.5,7.2,10.1,9.5,13.8,19,9.7
ULTRACEMCO,12317,52.5,4.7,10.7,12.5,14.7,14.2,15.2,18.8,53,14.4
WIPRO,259,22.4,2.8,21.5,23,25.7,25.1,27.9,30,84,25.5
