Overall_Rank,Ticker,Sector,Current_Price,Expected_Inc_Price_12M,Expected_Inc_Price_24M,Expected_Inc_Price_36M,Expected_Inc_Price_48M,Expected_Inc_Price_60M,Forecast_12M,Forecast_24M,Forecast_36M,Forecast_48M,Forecast_60M,Avg_Historical_CAGR,Risk_Adjusted_Return,PE_Ratio,PB_Ratio
1,TRENT,Consumer,5418,8404.78,11233.2,12916.7,14671.5,14935.7,55.13,43.99,33.59,28.28,22.48,36.69,29.36,125.99,35.24
2,ADANIENT,Infrastructure,2324.9,4138.22,2822.01,4743.24,6154.71,4610.72,78,10.17,26.83,27.56,14.68,31.45,25.16,39.73,5.75
3,HCLTECH,IT,1466.3,1848.02,2168.43,2791.43,3953.07,4277.26,26.03,21.61,23.94,28.14,23.88,24.72,19.78,23.43,5.74
4,TCS,IT,3054,3753.04,4758.73,6840.72,6211.86,7744.61,22.89,24.83,30.84,19.42,20.46,23.69,18.95,22.43,11.72
5,INDUSINDBK,Financials,760.1,946.33,1326.28,1316.94,1859.65,1641.86,24.5,32.09,20.11,25.07,16.65,23.68,18.95,58.68,0.92
6,BAJAJ-AUTO,Automobile,8679.5,8683.76,12307.8,18203.2,21783.2,23996.7,0.05,19.08,28,25.87,22.56,19.11,15.29,28.48,6.91
7,NESTLEIND,Consumer,1162.9,1467.25,1694.96,1990.06,1975.14,2314.35,26.17,20.73,19.61,14.16,14.76,19.09,15.27,69.32,54.42
8,POWERGRID,Energy,283.35,360.33,382.47,472.68,508.48,562.42,27.17,16.18,18.6,15.74,14.7,18.48,14.78,17.5,2.89
9,BAJFINANCE,Financials,894.5,900.48,1145.18,1312.21,1743.05,4472.44,0.67,13.15,13.63,18.15,37.97,16.71,13.37,31.91,5.81
10,TITAN,Consumer,3621,4127.62,5306.73,5919.96,6318.9,6547.96,13.99,21.06,17.8,14.94,12.58,16.07,12.86,86.58,27.79
11,ITC,Consumer,398.3,503.1,516.74,662.09,720.29,512.77,26.31,13.9,18.46,15.96,5.18,15.96,12.77,24.72,7.17
12,ASIANPAINT,Consumer,2504.5,3035.99,3437.34,2973.94,5223.12,4544.92,21.22,17.15,5.89,20.17,12.66,15.42,12.33,68.64,12.42
13,BEL,Infrastructure,374.85,541.93,420.01,416.98,483.91,637.11,44.57,5.85,3.61,6.59,11.19,14.36,11.49,50.12,13.68
14,BRITANNIA,Consumer,5545.5,6137,6951.51,8128.08,9103.13,13516.3,10.67,11.96,13.59,13.19,19.5,13.78,11.03,61.08,31.54
15,ONGC,Energy,236.29,282.22,311.26,345.2,381.91,341.83,19.44,14.77,13.47,12.75,7.66,13.62,10.89,8.25,0.87
16,AXISBANK,Financials,1070.9,1231.21,1463.97,1503.27,1681.67,1865.26,14.97,16.92,11.97,11.94,11.74,13.51,10.81,11.92,1.78
17,DRREDDY,Healthcare,1277.6,1554.6,1687.37,1817.79,1819.15,1850.12,21.68,14.92,12.47,9.24,7.69,13.2,10.56,18.76,3.18
18,INFY,IT,1487.5,1671.75,2117.17,2101.83,2331.89,2264.93,12.39,19.3,12.21,11.9,8.77,12.91,10.33,22.67,7.06
19,RELIANCE,Energy,1409.2,1685.63,1876.66,2633.51,1571.56,1544.51,19.62,15.4,23.17,2.76,1.85,12.56,10.05,20.28,2.26
20,SHRIRAMFIN,Financials,615.85,723.51,694.18,823.76,992.93,1144.88,17.48,6.17,10.18,12.68,13.2,11.94,9.55,11.96,2.07
21,COALINDIA,Energy,374.45,434,492.24,496.57,500.01,612.73,15.9,14.65,9.87,7.5,10.35,11.65,9.32,7.08,2.33
22,LT,Infrastructure,3595.8,4162.26,4636.53,4708.85,5420.19,5351.38,15.75,13.55,9.41,10.8,8.28,11.56,9.25,26.63,5.1
23,SUNPHARMA,Healthcare,1641.8,1834.61,1977.31,1889,2834.95,3448.43,11.74,9.74,4.79,14.63,16,11.38,9.1,37.98,5.43
24,ADANIPORTS,Infrastructure,1341.2,1489.57,1631.65,1891.09,2120.84,2228.95,11.06,10.3,12.13,12.14,10.69,11.26,9.01,25.65,4.64
25,HINDUNILVR,Consumer,2629.9,2720.79,3189.6,3324.53,5194.45,5326.43,3.46,10.13,8.13,18.55,15.16,11.09,8.87,54.8,11.2
26,HEROMOTOCO,Automobile,4997.9,5590.11,6531.33,6340.84,7383.64,7883.04,11.85,14.32,8.26,10.25,9.54,10.84,8.68,22,3.8
27,MARUTI,Automobile,14349,15888.1,18424.8,18045.7,20737.8,24798.5,10.73,13.32,7.94,9.64,11.56,10.64,8.51,28,4.7
28,KOTAKBANK,Financials,1986.6,2188.57,2499.09,2675.46,2744.18,2698.45,10.17,12.16,10.43,8.41,6.32,9.5,7.6,20.5,2.5
29,TATAMOTORS,Automobile,680.3,650.54,730.02,943.11,1343.03,1363.2,-4.37,3.59,11.5,18.53,14.91,8.83,7.07,9.5,2.1
30,BPCL,Energy,316.45,331.94,306.2,422.82,488.78,675.5,4.9,-1.63,10.14,11.48,16.38,8.25,6.6,12.5,1.2
31,HDFCBANK,Financials,1964.6,2037.37,2296.46,2205.15,2996.68,3751.7,3.7,8.12,3.93,11.13,13.81,8.14,6.51,21.6,2.8
32,SBILIFE,Financials,1859,1969.75,2237.04,2426.65,2447.83,2598.95,5.96,9.7,9.29,7.12,6.93,7.8,6.24,15,4.8
33,TATACONSUM,Consumer,1084.1,1141.07,1322.71,1188.75,1414.06,1998.33,5.26,10.46,3.12,6.87,13.01,7.74,6.2,48,18
34,CIPLA,Healthcare,1592.8,1578.71,1907.72,2037.81,2389.6,2429.33,-0.88,9.44,8.56,10.67,8.81,7.32,5.86,28,3.5
35,GRASIM,Infrastructure,2813.8,3170.4,3129.48,3120.89,3614.62,3962.63,12.67,5.46,3.51,6.46,7.09,7.04,5.63,18,1.8
36,ICICIBANK,Financials,1436.4,1511.04,1683.6,1662.51,1842.63,2319.84,5.2,8.26,4.99,6.42,10.06,6.99,5.59,19.3,3.1
37,TECHM,IT,1505,1541.89,1886.47,1723.24,1930.94,2039.75,2.45,11.96,4.62,6.43,6.27,6.35,5.08,20.2,3.6
38,HDFCLIFE,Financials,788.75,803.57,895.29,853.09,1137.03,1225.96,1.88,6.54,2.65,9.57,9.22,5.97,4.78,14.5,4.2
39,JSWSTEEL,Energy,1054.6,1105.51,1057.91,1344.54,1601.15,1358.29,4.83,0.16,8.43,11,5.19,5.92,4.74,16.2,2
40,NTPC,Energy,337,388.65,336.18,357.99,430.67,416.4,15.33,-0.12,2.03,6.32,4.32,5.58,4.46,13.7,1.4
41,ULTRACEMCO,Infrastructure,12589,11918.3,14518.3,14558.6,17774.4,21962.8,-5.33,7.39,4.96,9.01,11.77,5.56,4.45,52.5,4.7
42,WIPRO,IT,248.64,254.5,285.57,309.87,306.05,317.75,2.36,7.17,7.61,5.33,5.03,5.5,4.4,22.4,2.8
43,BHARTIARTL,Telecom,1933.3,1980.72,2335.97,2039.64,2464.46,2401.66,2.45,9.92,1.8,6.26,4.43,4.97,3.98,38.1,9.7
44,APOLLOHOSP,Healthcare,7922.5,8691.54,8556.92,8395.81,8712.74,10428,9.71,3.93,1.95,2.41,5.65,4.73,3.78,58,6.2
45,SBIN,Financials,816.25,823.15,901.23,908.44,1047.52,1142.33,0.85,5.08,3.63,6.44,6.95,4.59,3.67,9.6,1.6
46,M&M,Automobile,3403,3137.6,3234.2,3456.89,4892.03,5914.9,-7.8,-2.51,0.53,9.5,11.69,2.28,1.83,29.6,3.8
47,EICHERMOT,Automobile,5924.5,5389.83,5175.91,6230.28,7587.3,10421.5,-9.02,-6.53,1.69,6.38,11.96,0.9,0.72,32,5.2
48,TATASTEEL,Energy,158.55,143,153.19,159.3,177.04,168.19,-9.81,-1.71,0.16,2.8,1.19,-1.47,-1.18,45,1.8
49,HINDALCO,Energy,704.2,640.76,666,761.63,691.06,705.66,-9.01,-2.75,2.65,-0.47,0.04,-1.91,-1.53,15,2.2
50,BAJAJFINSV,Financials,1965.9,1500.81,1424.11,1613.96,1557,1642.01,-23.66,-14.89,-6.36,-5.66,-3.54,-10.82,-8.66,32.3,3.2
